5,N5,来,ライ,くる,venir / suivant
5,N5,東,トウ,ひがし,Est
5,N4,林,リン,はやし,bois / bosquet
5,N5,校,コウ,めん,école
5,N4,森,シン,もり,forêt / bois
5,N4,業,ギョウ / ゴウ,わざ,activité / profession
5,N4,楽,ガク / ラク / ゴウ,たのしい / たのしむ,musique / agréable / confortable
5,N4,歌,カ,うた / うたう,chant / chanter
5,N4,止,シ,とまる / とめる / やむ,stopper / arrêter / s'arrêter
6,N4,正,セイ / ショウ,ただしい,juste / correct / exact /10^40
6,N4,歩,ホ / ブ,あるく,marcher
6,N5,母,ボ,はは,mère / maman
6,N5,毎,マイ,ごと,chaque / tous les
6,N4,民,ミン,たみ,peuple / citoyen
6,N5,気,キ,いき,esprit / atmosphère / humeur
6,N5,水,スイ,みず,eau
6,N4,池,チ,いけ,étang / mare / réservoir
6,N4,注,チュウ,そそぐ,verser / note / commentaire
6,N4,洋,ヨウ,-,océan / style occidental
6,N4,洗,セン,あらう,laver / se laver
6,N4,海,カイ,うみ,mer / océan
6,N4,漢,カン,-,Chine des Hans (ethnie majoritaire en Chine)
6,N5,火,カ,ひ,feu
6,N5,父,フ,ちち,père / papa
6,N4,牛,ギュウ,うし,vache
6,N4,物,ブツ / モツ,もの,objet / chose concrète
6,N4,特,トク,-,spécial
6,N4,犬,ケン,いぬ,chien
6,N4,理,リ,ことわり,raison / principe / logique
6,N5,生,セイ / ショウ,いきる / うまれる / なま,vivre / naître / cru / authentique
6,N4,産,サン,うむ / うまれる,production / naissance / donner naissance
6,N4,用,ヨウ,もちいる,emploi / usage / utiliser
6,N4,田,デン,た,rizière
6,N5,男,ダン / ナン,おとこ,homme / mâle
6,N4,町,チョウ,まち,village / quartier
6,N4,画,ガ / カク,えがく / かくする / かぎる,image / dessin / peinture / compteur de traits de kanjis
6,N4,界,カイ,-,monde / frontière
6,N4,病,ビョウ,やむ / やまい,maladie / malade
6,N4,発,ハツ / ホツ,たつ / あばく,départ / émettre
6,N5,白,ハク,しろい,blanc
6,N5,百,ヒャク / ビャク,もも,cent
6,N5,目,モク / ボク,め,œil / numérateur ordinal
7,N4,県,ケン,かける,département / préfecture
7,N4,真,シン,ま / まこと,vérité / exact / réalité
7,N4,着,チャク,きる / つく,s'habiller / arriver
7,N4,知,チ,しる / しらせる,savoir / connaître
7,N4,短,タン,みじかい,court / bref
7,N4,研,ケン,とぐ,polir / aiguiser / étudier
7,N5,社,シャ,やしろ,entreprise / société / temple shinto
7,N4,私,シ,わたくし / わたし,je / moi / privé
7,N4,秋,シュウ,あき / とき,automne
7,N4,究,キュウ,きわめる,recherche / étudier
7,N5,空,クウ,そら / あく / すく,ciel / creux / vide
7,N5,立,リツ,たつ,être debout / établir
7,N4,答,トウ,こたえる / こたえ,solution / réponse / répondre
7,N4,紙,シ,かみ,papier
7,N4,終,シュウ,おわる / おえる,finir / fin
7,N4,習,シュウ,ならう,apprendre / coutume
7,N4,考,コウ,かんがえる,réfléchir / considérer
7,N4,者,シャ,もの,personne (quelqu'un)
7,N5,耳,ジ,みみ,oreille
7,N5,聞,ブン / モン,きく / きこえる,entendre / écouter / demander
7,N4,肉,ニク,しし,viande / chair
7,N4,自,ジ / シ,みずから,soi-même
7,N4,色,ショク / シキ,いろ,couleur
